Municipios;Obitos;Longitude;Latitude
Divinópolis;75;-44.893886;-20.142073999999997
Formiga;40;-45.426428;-20.464884
Campo Belo;2;-45.275861;-20.895316
Oliveira;79;-44.826411;-20.697516
Passos;198;-46.611413;-20.719212
S. Seb. Paraíso;64;-48.772529;-21.015793
Alfenas;67;-45.948918;-21.428178
Varginha;178;-45.431886;-21.55708
P. Caldas;206;-46.387789;-21.923336
P. Alegre;72;-41.536488;-20.763265
Andrelândia;11;-44.317699;-21.736968
Itajubá;176;-45.464583000000005;-22.430601
Lavras;55;-44.999931;-21.24287
Barbacena;67;-43.776193;-21.224915
Ponte Nova;46;-42.909684000000006;-20.416643
Manhuaçu;53;-36.917922999999995;-5.571946
Viçosa;41;-37.947409;-5.9918569999999995
Muriaé;87;-42.361075;-21.132047
Ubá;174;-42.936786;-21.118597
Juiz de Fora;173;-43.348817;-21.760924
Cataguases;94;-42.692085;-21.389248000000002
Colatina;58;-40.630318;-19.536270000000002
São Mateus;26;-39.858201;-18.718447
Linhares;73;-40.065306;-19.398106
Afonso Cláudio;27;-44.768423;-20.444575
Santa Teresa;4;-40.598997999999995;-19.937714
Vitória;188;-40.322209;-20.320154000000002
Guarapari;2;-40.495021;-20.665975
Alegre;110;-41.536488;-20.763265
Cach.Itapemirim;112;-40.836145;-21.0111
Itapemirim;9;-40.836145;-21.0111
Itaperuna;290;-39.074713;-15.294208
Macaé;91;-41.775064;-22.368705
Três Rios;15;-43.211609;-22.117448
Cantag/Cordeiro;11;-42.363031;-22.027777
Nova Friburgo;108;-42.532771000000004;-22.286461
S.M.Madalena;13;-39.575789;-4.852434
Vale Paraíba RJ;153;-51.782096;-28.599621000000003
Barra do Piraí;22;-43.143639;-11.088955
Vassouras;114;-43.663874;-22.409008
Serrana;200;-40.275217;-20.15677
Itaguaí;69;-43.775040999999995;-22.871251
Rio de Janeiro;4655;-43.227875;-22.876652
Jales;83;-50.550356;-20.267853
Fernandópolis;116;-50.248748;-20.282383
Votuporanga;12;-40.92638;-4.743951
Catanduva;397;-48.975871000000005;-21.139539000000003
Nhandeara;1;-50.040274;-20.694823
Novo Horizonte;15;-38.494240000000005;-4.093278
Barretos;43;-48.567378000000005;-20.558456
S.Joaquim Barra;32;-43.143639;-11.088955
Ituverava;95;-47.29975;-23.265442999999998
Franca;326;-47.402332;-20.536097
Jaboticabal;210;-48.32035;-21.254471
Ribeirão Preto;667;-35.376131;-8.511116000000001
Batatais;50;-47.586107;-20.89193
Andradina;59;-51.378848;-20.901464
Araçatuba;73;-50.439226;-21.205476
Birigui;30;-50.339329;-21.292392
Lins;9;-49.751422999999996;-21.672347
Bauru;264;-49.083001;-22.325123
Jaú;64;-48.558141;-22.295791
Avaré;44;-48.923263;-23.103194000000002
Botucatu;369;-38.376294;-12.355186999999999
Araraquara;143;-35.759541999999996;-6.826192
São Carlos;30;-47.889238;-22.015999
Rio Claro;92;-44.139406;-22.731727
Limeira;143;-47.40194;-22.562194
Piracicaba;108;-47.646846000000004;-22.723722
Pirassununga;32;-47.425173;-21.994049
Campinas;1082;-47.060156;-22.907343
Amparo;205;-37.064775;-7.567212
Dracena;64;-51.53405;-21.486138
Adamantina;69;-51.073365;-21.688311
Tupã;93;-50.514006;-21.934822
Marília;303;-49.951646000000004;-22.214933
Assis;90;-50.41751;-22.662835
Ourinhos;51;-49.86858;-22.977268
Itapeva;88;-46.219557;-22.76974
Itapetininga;43;-48.046143;-23.587873000000002
Tatuí;19;-47.849464000000005;-23.348577
Capão Bonito;16;-47.305892;-1.367474
Piedade;5;-47.418015000000004;-23.714202
Sorocaba;254;-47.457853;-23.499323
Jundiaí;473;-46.885274;-23.187668
Bragança SP;197;-46.765754;-1.053524
Campos Jordão;3;-71.950875;-9.193358
Guaratinguetá;163;-45.1916;-22.817425
Par./Paraitinga;12;-41.778178000000004;-16.601429
Caraguatatuba;150;-45.410818;-23.622007
Registro;16;-47.841055;-24.494251000000002
Itanhaém;54;-46.790991;-24.186121
Osasco;658;-46.78881;-23.533611999999998
Franco da Rocha;46;-46.727875;-23.320303
Guarulhos;471;-46.531084;-23.468506
Itapec.Serra;696;-40.275217;-20.15677
São Paulo;7640;-46.570383;-23.567387
Mogi das Cruzes;361;-40.171279;-2.9167080000000003
Santos;184;-46.331371000000004;-23.933738
Paranavaí;6;-49.336815;-22.156772
Umuarama;72;-53.30846;-23.76395
Cianorte;31;-52.609151000000004;-23.653813
Goioerê;6;-53.02731899999999;-24.189188
Campo Mourão;48;-52.381115;-24.041223000000002
Astorga;17;-51.669678999999995;-23.236712
Floraí;1;-52.302984;-23.319846
Maringá;370;-35.617689;-7.295027
Apucarana;127;-51.459984999999996;-23.551593
Londrina;413;-51.162773;-23.312155999999998
Ivaiporã;59;-53.718099;-24.00258
Jacarezinho;38;-49.978573;-23.160116
Ibaiti;2;-50.190666;-23.849821
Wenceslau Braz;4;-45.356774;-22.529013
Telêmaco Borba;33;-59.594559;-4.390619999999999
Jaguariaíva;2;-49.712185999999996;-24.253057000000002
Ponta Grossa;93;-50.161442;-25.092547
Toledo;171;-46.378972999999995;-22.743395
Cascavel PR;140;-38.239686;-4.131434
Foz do Iguaçu;68;-36.917922999999995;-5.571946
Capanema;2;-47.175126;-1.192442
Pato Branco;71;-52.677362;-26.229959
Pitanga;3;-51.763154;-24.752748
Guarapuava;47;-51.463431;-25.393592
Palmas;55;-47.174172;-11.574523
Prudentópolis;5;-50.983575;-25.216020999999998
Irati;7;-50.658048;-25.473736
União Vitória;54;-42.86293;-4.586018
Curitiba;987;-49.271848;-25.432956
Paranaguá;14;-48.524733000000005;-25.506842000000002
Rio Negro PR;4;-49.797684999999994;-26.100407999999998
Chapecó;91;-52.617031000000004;-27.106837
Xanxerê;35;-52.404666999999996;-26.874584000000002
Joaçaba;82;-51.50669;-27.173945
Concórdia;12;-52.023971;-27.233659000000003
Canoinhas;93;-50.397849;-26.178807
Joinville;247;-48.849409;-26.304517999999998
Curitibanos;40;-49.271848;-25.432956
Campos de Lages;52;-50.330222;-27.817259000000004
Rio do Sul;44;-49.643238000000004;-27.217903000000003
Blumenau;232;-49.057631;-26.916108
Itajaí;116;-48.657022999999995;-26.907426
Ituporanga;67;-40.92638;-4.743951
Tijucas;3;-48.632071;-27.239454
Florianópolis;123;-48.547637;-27.587796
Tubarão;137;-49.005268;-28.480034000000003
Criciúma;123;-49.36594;-28.673571999999997
Araranguá;72;-35.759541999999996;-6.826192
Santa Rosa;92;-54.478224;-27.86675
Três Passos;15;-46.611413;-20.719212
Erechim;61;-52.275877;-27.633406
Sananduva;16;-51.813502;-27.944007
Cerro Largo;16;-54.739996999999995;-28.147840999999996
Santo Ângelo;75;-54.264143000000004;-28.301938
Ijuí;74;-53.91806700000001;-28.388537
Carazinho;49;-52.791897;-28.286510999999997
Passo Fundo;123;-52.407095;-28.261767
Cruz Alta;33;-40.171279;-2.9167080000000003
Não-Me-Toque;5;-52.819279;-28.459907
Soledade;39;-36.362665;-7.058741
Guaporé;19;-51.890651;-28.849134000000003
Vacaria;81;-36.643739000000004;-6.442085
Caxias do Sul;187;-43.358539;-4.861675
Santiago;86;-54.869076;-29.19146
Santa Maria;66;-35.690364;-5.838519
Restinga Seca;8;-47.483090000000004;-20.603803
S. Cruz do Sul;87;-40.171279;-2.9167080000000003
Lajeado-Estrela;166;-48.358503999999996;-9.744682000000001
Cachoeira Sul;20;-38.969398;-12.596211
Montenegro;67;-51.461299;-29.688119
Gramado-Canela;49;-50.814867;-29.357971999999997
Porto Alegre;1815;-42.710926;-3.8914230000000005
Osório;100;-50.266798;-29.892697
Camaquã;2;-51.814601;-30.850703999999997
Campanha Ocid.;115;-45.398449;-21.835357000000002
Campanha Centr.;84;-45.398449;-21.835357000000002
Campanha Merid.;47;-45.398449;-21.835357000000002
Pelotas;210;-52.34432;-31.719597999999998
Jaguarão;5;-53.377523;-32.563569
Litoral Lagunar;134;-39.074713;-15.294208
Aquidauana;6;-55.790616;-20.474654
Alto Taquari;5;-51.862776000000004;-29.802801000000002
Campo Grande;60;-36.79084;-9.956923
Cassilândia;4;-51.731577;-19.109407
Paranaíba;1;-51.188708;-19.677372000000002
Três Lagoas;12;-37.91509;-6.594208999999999
Nova Andradina;1;-51.378848;-20.901464
Bodoquena;1;-56.673567000000006;-20.554842999999998
Dourados;76;-48.316235999999996;-22.113167
Iguatemi;11;-54.558601;-23.661901999999998
Aripuanã;3;-40.718726000000004;-4.313432
Alta Floresta;19;-37.971455999999996;-7.861714
Colíder;28;-55.464231000000005;-10.804089999999999
Parecis;1;-61.597998;-12.179827000000001
Sinop;7;-55.500921999999996;-11.858005
Paranatinga;1;-54.054092000000004;-14.427698000000001
Canarana;12;-41.765492;-11.687583
Tangará Serra;8;-35.80019;-6.197357
Cuiabá;790;-56.073252000000004;-15.569989000000001
Primavera Leste;22;-47.117251;-0.9401120000000001
Tesouro;2;-51.620562;-27.342488
Rondonópolis;36;-52.762492;-23.41266
Alto Araguaia;1;-53.220259999999996;-17.31559
Rio Vermelho;6;-43.022439;-18.301111
Aragarças;3;-49.65653;-22.210709
Porangatu;20;-40.92638;-4.743951
Ceres;31;-49.603346;-15.307028
Anápolis;67;-48.957218;-16.328826
Iporá;1;-51.119595000000004;-16.440003
Anicuns;1;-49.959068;-16.460741
Goiânia;179;-49.255814;-16.67331
Vão do Paranã;1;-47.884084;-12.620481
Ent.Brasília;25;-47.887904999999996;-15.794087
SO de Goiás;80;-50.141384;-15.935742999999999
Pires do Rio;5;-48.280293;-17.300581
Catalão;18;-47.947703000000004;-18.169573
Quirinópolis;3;-50.724838;-21.727891
Brasília;785;-47.887904999999996;-15.794087
