Municipios;Obitos
43029 Campanha Ocid.;115
43030 Campanha Centr.;84
43031 Campanha Merid.;47
43033 Pelotas;210
43034 Jaguarão;5
43035 Litoral Lagunar;134
50001 Baixo Pantanal;43
50002 Aquidauana;6
50003 Alto Taquari;5
50004 Campo Grande;60
50005 Cassilândia;4
50006 Paranaíba;1
50007 Três Lagoas;12
50008 Nova Andradina;1
50009 Bodoquena;1
50010 Dourados;76
50011 Iguatemi;11
51001 Aripuanã;3
51002 Alta Floresta;19
51003 Colíder;28
51004 Parecis;1
51006 A.Teles Pires;37
51007 Sinop;7
51008 Paranatinga;1
51009 Norte Araguaia;3
51010 Canarana;12
51011 Médio Araguaia;10
51013 Tangará Serra;8
51017 Cuiabá;790
51018 Alto Pantanal;3
51019 Primavera Leste;22
51020 Tesouro;2
51021 Rondonópolis;36
51022 Alto Araguaia;1
52001 S.Miguel Arag.;1
52002 Rio Vermelho;6
52003 Aragarças;3
52004 Porangatu;20
52006 Ceres;31
52007 Anápolis;67
52008 Iporá;1
52009 Anicuns;1
52010 Goiânia;179
52011 Vão do Paranã;1
52012 Ent.Brasília;25
52013 SO de Goiás;80
52015 Meia Ponte;24
52016 Pires do Rio;5
52017 Catalão;18
52018 Quirinópolis;3
53001 Brasília;785
