Municipios;Obitos
43013 Soledade;69
43014 Guaporé;66
43015 Vacaria;165
43016 Caxias do Sul;370
43017 Santiago;135
43018 Santa Maria;197
43019 Restinga Seca;44
43020 S. Cruz do Sul;245
43021 Lajeado-Estrela;360
43022 Cachoeira Sul;132
43023 Montenegro;127
43024 Gramado-Canela;258
43025 S. Jerônimo;153
43026 Porto Alegre;3586
43027 Osório;330
43028 Camaquã;29
43029 Campanha Ocid.;299
43030 Campanha Centr.;146
43031 Campanha Merid.;113
43032 Serras Sudeste;76
43033 Pelotas;538
43034 Jaguarão;24
43035 Litoral Lagunar;300
50001 Baixo Pantanal;130
50002 Aquidauana;83
50003 Alto Taquari;41
50004 Campo Grande;561
50005 Cassilândia;22
50006 Paranaíba;46
50007 Três Lagoas;103
50008 Nova Andradina;54
50009 Bodoquena;18
50010 Dourados;325
50011 Iguatemi;67
51001 Aripuanã;12
51002 Alta Floresta;46
51003 Colíder;87
51004 Parecis;10
51005 Arinos;21
51006 A.Teles Pires;96
51007 Sinop;25
51008 Paranatinga;1
51009 Norte Araguaia;16
51010 Canarana;19
51011 Médio Araguaia;40
51012 Alto Guaporé;6
51013 Tangará Serra;41
51014 Jauru;13
51016 Rosário Oeste;3
51017 Cuiabá;955
51018 Alto Pantanal;67
51019 Primavera Leste;70
51020 Tesouro;12
51021 Rondonópolis;130
51022 Alto Araguaia;3
52001 S.Miguel Arag.;10
52002 Rio Vermelho;64
52003 Aragarças;14
52004 Porangatu;64
52005 Chap.Veadeiros;7
52006 Ceres;102
52007 Anápolis;307
52008 Iporá;3
52009 Anicuns;9
52010 Goiânia;752
52011 Vão do Paranã;16
52012 Ent.Brasília;99
52013 SO de Goiás;216
52014 Vale Rio Bois;1
52015 Meia Ponte;125
52016 Pires do Rio;17
52017 Catalão;57
52018 Quirinópolis;44
53001 Brasília;1344
